Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP,MPG,PPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST/TO,FTR,3PATR,SQ,HT,POS,CLASS,CONFERENCE,SEASON,YEAR,POS-GROUP,NAT,TEAM_NAME,LEAGUE,DOB,TIER
Jake Shapiro,TULAN,1.125,1.125,150,0,22.1,10.5,0,0,0,0,34.6,0,2.3,0,116.9,-116.9,6.8,68.1,5,1.2,1.8,0.6,0.8,0.75,0.6,0.8,0.75,0,0,0,0,0.2,0.2,0,0,0,0,0,,0.0,100.0,77.1,6-1,G,Jr,AAC,25-26,26,GUARD,USA,Tulane,NCAA,-,High-Major
Jeremiah Jacobs,HEART,1,1,100,0,43,20.5,0,0,0,0,29.9,0,2,200,72.8,127.2,3.3,63.3,1,3,4,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0.0,0.0,35.0,6-8,GF,Fr,MAAC,25-26,26,WING,USA,Sacred Heart,NCAA,-,Low-Major
Cooper Josefsberg,FLA,0.75,0.75,150,0,105.3,51,0,0,0,0,39.5,0,1.5,177.7,76.7,101,3,62.7,2,1,1.5,0.5,1,0.5,0.5,0.5,1,0,0,0,0,1,1,0,0,0,0,0,,0.0,50.0,61.3,6-4,G,Jr,SEC,25-26,26,GUARD,USA,Florida,NCAA,-,Power 5
Evan Smith,UNC,0.714,0.667,141.7,33.6,33,33.2,71.4,0,0,0,30.2,24.8,2.3,181.8,73.4,108.4,9.5,57.6,5,1.6,1.4,0.4,0.6,0.667,0,0,0,0.6,0.8,0.75,0.4,0.6,1,0.6,0,0,0,0.4,,133.3,0.0,45.8,6-3,G,Jr,ACC,25-26,26,GUARD,USA,North Carolina,NCAA,-,Power 5
James Goodis,BAYL,1.25,1.25,200,0,0,0,0,0,18,0,15.7,0,2.5,250,63.6,186.4,5.5,55.5,2,3,2.5,1,1,1,0.5,0.5,1,0,0,0,0,0,0,0,1,0,0,0,,0.0,50.0,78.8,6-0,G,Jr,B12,25-26,26,GUARD,USA,Baylor,NCAA,11/15/2003,Power 5
Dominick LaDuca,UNH,1.333,1.333,200,15,0,7.6,0,0,7.1,0,17.3,0,2.7,256.3,77.7,178.6,7.3,55.3,3,2.7,2.7,1,1,1,0.7,0.7,1,0,0,0,0.3,0,0.3,0,0.3,0,0,0.3,,0.0,70.0,85.7,5-7,G,Fr,NEC,25-26,26,GUARD,USA,New Hampshire,NCAA,-,Low-Major
Nick Randall,COLO,1,1,100,0,49.4,28.6,0,0,0,0,25,0,2,200,75.9,124.1,2,52.3,2,1,1,0.5,0.5,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,,0.0,0.0,35.0,6-8,F,So,B12,25-26,26,FORWARD,USA,Colorado,NCAA,9/16/2004,Power 5
Gus Hurlburt,NWU,1.026,1,200,35.1,0,14.6,0,0,0,0,22.9,0,4,227.8,93.5,134.4,3.5,52.2,2,2,2,0.5,0.5,1,0,0,0,1,1,1,0.5,0,0.5,0,0,0,0,0,,200.0,0.0,65.9,6-9,F,Jr,B10,25-26,26,FORWARD,USA,Northwestern,NCAA,-,Power 5
Brendan Yarusso,SCU,0.576,0.5,169.7,0,28.2,13.2,0,0,0,0,71.5,0,1.3,129.9,100.5,29.4,6.5,52,8,1.1,2,0.5,1.5,0.333,0.5,1.4,0.364,0.5,0.5,1,0,0.3,0.3,0,0,0,0,0.1,,33.3,93.3,63.6,6-1,G,Sr,WCC,25-26,26,GUARD,USA,Santa Clara,NCAA,-,High-Major
Tito Deng,JAC,0,0,0,0,0,0,0,0,52.3,0,0,0,0,0,15.1,-15.1,1,50.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,6-11,F,Jr,A-SUN,25-26,26,FORWARD,SSD,Jacksonville,NCAA,4/2/2003,Low-Major
